TRN_STATUS,AMOUNT,RESPONSE_CODE,BENEFICIARY_CODE,INITIATION_MODE,day,hour,minute,weekday,TRANSACTION_TYPE_ENC,PAYER_VPA_ENC,PAYER_IFSC_ENC,PAYER_ACCOUNT_ENC,BENEFICIARY_VPA_ENC,BENEFICIARY_IFSC_ENC,BENEFICIARY_ACCOUNT_ENC,DEVICE_ID_ENC,IP_ADDRESS_ENC,LATITUDE_ENC,LONGITUDE_ENC,IS_FRAUD
0,1.0,0,0,0,1,13,51,5,0,0,0,0,0,0,0,0,0,0,0,0
0,250.0,0,0,0,1,22,10,5,0,1,1,1,1,1,1,1,1,1,1,0
0,500.0,0,0,0,2,16,46,6,0,1,1,1,1,1,1,1,2,2,2,0
0,10000.0,0,0,0,3,12,53,0,0,2,2,2,2,2,2,2,3,3,3,0
0,10000.0,0,0,0,5,22,5,2,0,3,2,2,3,3,3,3,4,4,4,0
0,25000.0,0,0,0,5,11,29,2,0,3,2,2,4,4,4,3,4,4,4,0
0,15000.0,0,0,0,6,14,59,3,0,2,2,2,2,2,2,2,5,5,5,0
0,300.0,0,0,0,2,22,37,6,0,1,1,1,1,1,1,1,6,6,6,0
0,25000.0,0,0,0,4,16,11,1,0,3,2,2,4,4,4,3,7,7,7,0
0,1890.0,0,0,0,6,8,24,3,0,4,2,2,5,5,5,4,8,8,8,1
0,5000.0,0,0,0,6,10,3,3,0,0,0,0,6,6,6,0,9,9,9,1
0,5000.0,0,0,0,6,10,2,3,0,0,0,0,6,6,6,0,9,9,9,1
0,1000.0,0,0,0,6,10,3,3,0,0,0,0,6,6,6,0,9,9,9,1
0,300.0,0,0,0,6,16,35,3,0,1,1,1,1,1,1,1,10,10,10,0
1,2200.0,1,0,0,1,22,2,5,0,5,3,3,7,7,7,5,11,11,11,0
1,100.0,1,0,0,1,15,31,5,0,6,4,4,8,8,8,6,12,12,12,0
1,1200.0,1,0,0,1,17,30,5,0,7,5,5,9,9,9,7,13,13,13,0
1,2000.0,1,0,0,2,19,51,6,0,8,6,6,10,10,10,8,14,14,14,0
1,60.0,1,5411,0,2,15,26,6,1,9,7,7,11,11,11,9,15,15,15,0
1,26500.0,1,0,0,2,17,36,6,0,10,8,8,12,12,12,10,16,16,16,0
1,500.0,1,0,0,2,12,57,6,0,11,9,9,13,13,13,11,17,17,17,0
1,500.0,1,4784,0,2,16,45,6,1,12,1,1,14,14,14,12,18,15,15,0
1,100.0,1,0,0,2,14,12,6,0,12,1,1,15,15,15,12,18,15,15,0
1,500.0,2,0,0,2,0,25,6,0,13,10,10,16,16,16,13,19,18,18,0
1,500.0,3,0,0,2,9,3,6,0,13,10,10,17,17,17,13,20,18,19,0
1,500.0,3,0,0,2,11,3,6,0,14,11,11,18,18,18,14,21,19,20,0
1,500.0,2,0,0,2,11,3,6,0,14,11,11,18,18,18,14,21,19,20,0
1,5000.0,4,0,0,2,2,0,6,0,15,12,12,19,19,19,15,22,15,15,0
1,4500.0,1,0,0,3,17,40,0,0,16,4,4,20,20,20,16,23,20,21,0
1,420.0,5,0,0,3,9,37,0,0,17,13,13,21,21,21,17,24,21,22,0
1,70.0,1,0,0,3,21,30,0,0,18,14,14,22,22,22,18,25,22,23,0
1,20.0,3,0,0,3,16,36,0,0,19,15,15,23,23,23,19,26,23,24,0
1,500.0,1,0,0,3,23,50,0,0,20,16,16,24,24,24,20,27,24,25,0
1,5000.0,1,0,0,3,16,24,0,0,21,12,12,25,25,25,21,28,25,26,0
1,1400.0,1,0,0,4,16,26,1,0,12,1,1,26,26,26,12,29,26,27,0
1,7200.0,3,0,0,4,19,12,1,0,22,17,17,27,27,27,22,30,23,24,0
1,4200.0,1,0,0,4,18,52,1,0,23,18,18,28,28,28,23,31,15,15,0
1,4200.0,1,0,0,4,18,53,1,0,24,18,18,28,28,28,24,32,27,28,0
1,12000.0,3,0,0,4,18,51,1,0,6,4,4,29,29,29,6,33,28,29,0
1,135.0,1,0,0,4,22,55,1,0,25,19,19,30,30,30,25,34,29,30,0
1,1.0,6,0,0,4,22,18,1,0,26,20,20,31,31,31,26,35,30,31,0
1,2000.0,3,5251,0,4,12,27,1,1,27,21,21,32,14,32,27,36,31,32,0
1,30.0,1,5812,0,4,18,3,1,1,9,7,7,33,32,33,9,15,15,15,0
1,100.0,7,0,0,4,11,11,1,0,28,22,22,34,33,34,28,37,32,33,0
1,900.0,1,0,0,5,17,40,2,0,29,23,23,35,34,35,29,38,33,34,0
1,19.0,1,4814,0,5,15,19,2,1,30,24,24,36,11,36,30,39,34,35,0
1,2000.0,3,0,0,5,17,33,2,0,31,25,25,37,35,37,31,40,23,24,0
1,20000.0,8,0,0,5,19,10,2,0,32,26,26,38,36,38,32,41,15,15,0
1,2499.0,1,0,0,5,8,5,2,0,33,27,27,39,37,39,33,42,35,36,0
1,2900.0,3,0,0,5,11,53,2,0,34,28,28,40,38,40,34,43,36,37,0
1,30.0,1,0,0,5,23,30,2,0,30,24,24,41,39,41,30,44,37,38,0
1,1400.0,3,0,0,1,8,17,5,0,35,23,23,42,24,42,29,45,38,39,0
1,1000.0,1,0,0,1,21,1,5,0,36,29,29,43,40,43,35,46,39,40,0
1,700.0,1,0,0,1,15,54,5,0,6,4,4,44,41,44,6,12,12,12,0
1,420.0,5,0,0,1,20,14,5,0,17,13,13,21,21,21,17,47,40,41,0
1,160.0,1,5814,0,2,19,57,6,1,37,30,30,45,32,33,36,48,41,42,0
1,60.0,1,5411,0,2,15,26,6,1,9,7,7,11,11,11,9,15,15,15,0
1,19.0,1,4814,0,2,17,4,6,1,30,24,24,36,11,36,30,49,42,43,0
1,1000.0,1,0,0,2,13,57,6,0,38,31,31,46,42,45,37,50,43,44,0
1,300.0,1,5411,0,2,19,35,6,1,39,32,32,47,14,32,38,51,15,15,0
1,19.0,2,4814,0,2,20,42,6,1,40,33,33,48,43,33,39,52,23,24,0
1,420.0,5,0,0,2,6,13,6,0,17,13,13,21,21,21,17,53,44,45,0
1,6200.0,1,0,0,3,15,2,0,0,6,4,4,49,44,20,6,54,45,46,0
1,1000.0,3,0,0,3,16,18,0,0,41,34,34,50,45,46,40,55,46,47,0
1,70.0,1,0,0,3,21,29,0,0,18,14,14,22,22,22,18,25,22,23,0
1,1.0,6,0,0,3,7,17,0,0,26,20,20,51,46,47,26,56,47,48,0
1,1000.0,1,0,0,4,14,17,1,0,27,21,21,52,47,48,27,57,48,49,0
1,100.0,3,0,0,4,17,49,1,0,42,35,35,53,48,49,41,58,15,15,0
1,7400.0,3,0,0,4,19,11,1,0,43,17,17,54,27,27,22,30,23,24,0
1,3000.0,1,0,0,4,18,53,1,0,24,18,18,28,28,28,24,59,49,50,0
1,4200.0,1,0,0,4,18,51,1,0,23,18,18,28,28,28,23,31,15,15,0
1,2000.0,1,822,0,4,22,30,1,1,44,36,36,55,49,50,42,60,35,36,0
1,20000.0,1,0,0,4,18,32,1,0,45,37,37,56,50,51,43,61,35,36,0
1,17500.0,1,0,0,4,18,21,1,0,46,38,38,57,51,52,44,62,15,15,0
1,2000.0,3,5251,0,4,12,27,1,1,27,21,21,32,14,32,27,36,31,32,0
1,20000.0,1,0,0,4,18,26,1,0,45,37,37,56,50,51,43,61,35,36,0
1,1000.0,3,0,0,5,17,38,2,0,47,25,25,37,35,37,31,40,23,24,0
1,5000.0,1,0,0,5,12,53,2,0,48,39,39,58,52,53,45,63,50,51,0
